Method,Silhouette,ARI,NMI,Purity
Beta-VAE (Audio Only),0.069194905,0.027447659,0.058391825,0.237037037
Beta-VAE + Lyrics (Fused),0.075240687,0.029168351,0.059276294,0.235259259
